,kingdom,supergroup,division,class,order,family,genus,species,taxon
Ciliophora_78,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,Oxytrichidae,Orthamphisiella,Orthamphisiella_breviseries,Orthamphisiella_breviseries
Dinoflagellata_1171,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Paragymnodinium,Paragymnodinium_shiwhaense,Paragymnodinium_shiwhaense
Dinoflagellata_1376,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-33,Dino-Group-II-Clade-33_X,Dino-Group-II-Clade-33_X_sp.,Dino-Group-II-Clade-33_X_sp.
Streptophyta_419,Eukaryota,Archaeplastida,Streptophyta,,,,,,Streptophyta
Streptophyta_557,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Platytheca,Platytheca_verticillata,Platytheca_verticillata
Conosa_30,Eukaryota,Amoebozoa,Conosa,Variosea,Variosea_X,AND16-lineage,AND16-lineage_X,AND16-lineage_X_sp.,AND16-lineage_X_sp.
Radiolaria_32,Eukaryota,Rhizaria,Radiolaria,Polycystinea,Spumellarida,Ethmosphaeridae,Styptosphaera,Styptosphaera_sp.,Styptosphaera_sp.
Streptophyta_520,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Citrus,Citrus_trifoliata,Citrus_trifoliata
Cryptophyta_83,Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Plagiomonas,Plagiomonas_amylosa,Plagiomonas_amylosa
Opalozoa_25,Eukaryota,Stramenopiles,Opalozoa,MAST-3,MAST-3J,MAST-3J_X,MAST-3J_XX,MAST-3J_XX_sp.,MAST-3J_XX_sp.
Cercozoa_339,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Cercomonadida,Cercomonadidae,,,Cercomonadidae
Cercozoa_409,Eukaryota,Rhizaria,Cercozoa,,,,,,Cercozoa
Ciliophora_1639,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Strombidiida,Strombidiidae_N,Strombidium_N,Strombidium_cuneiforme,Strombidium_cuneiforme
Ciliophora_428,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Euplotia,Aspidiscidae,Aspidisca,Aspidisca_steini,Aspidisca_steini
Ciliophora_818,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Scuticociliatia_1,Philasterida,Uronemella,Uronemella_parafilificum,Uronemella_parafilificum
Cryptophyta_12,Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptophyceae_X,Basal_Cryptophyceae-1,Basal_Cryptophyceae-1_X,Basal_Cryptophyceae-1_X_sp.,Basal_Cryptophyceae-1_X_sp.
Cryptophyta_41,Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Teleaulax,Teleaulax_acuta,Teleaulax_acuta
Dinoflagellata_1942,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophysiales,Dinophysiaceae,Sinophysis,Sinophysis_microcephala,Sinophysis_microcephala
Discoba_32,Eukaryota,Excavata,Discoba,Jakobida,Jakobida_X,Jakobidae,,,Jakobidae
Glaucophyta_6,Eukaryota,Archaeplastida,Glaucophyta,Glaucocystophyceae,Glaucocystophytes,Cyanoptycaceae,Cyanoptyche,Cyanoptyche_gloeocystis,Cyanoptyche_gloeocystis
Radiolaria_90,Eukaryota,Rhizaria,Radiolaria,Acantharea,Acantharea-Group-VI,Acantharea-Group-VI_X,Acantharea-Group-VI_XX,Acantharea-Group-VI_XX_sp.,Acantharea-Group-VI_XX_sp.
Cercozoa_155,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Sandonidae,Sandonidae_Clade-N/F-A,Sandonidae_Clade_N/F-A_sp.,Sandonidae_Clade_N/F-A_sp.
Cercozoa_23,Eukaryota,Rhizaria,Cercozoa,Filosa-Granofilosea,Limnofilida,Limnofilidae,,,Limnofilidae
